Real,Previsto
12.23,12.272429524362087
12.16,12.199876026809216
11.98,12.144880586862564
11.77,12.100931146740914
12.13,12.026120668649673
12.02,12.132278677821159
11.71,12.13249238729477
11.6,11.97521090209484
11.35,11.833474609255791
11.26,11.664179350435735
11.24,11.467951485514641
11.19,11.313953828811645
11.24,11.15880075097084
11.32,11.109270539879798
11.34,11.169182166457176
11.44,11.172505088150501
11.81,11.223588602244854
11.77,11.462600061297417
11.61,11.659912979602813
11.78,11.574953907728196
11.67,11.581952458620071
11.75,11.629266519844531
11.76,11.72547835111618
11.27,11.885605821013451
11.24,11.723575815558434
11.44,11.543807055056096
10.96,11.521323254704475
11.15,11.326458439230919
11.19,11.234305350482463
11.44,11.215076710283757
11.35,11.300344184041023
11.26,11.27426120340824
11.45,11.232825890183449
11.24,11.316051830351352
10.88,11.280086089670657
11.15,11.139563423395156
11.41,11.107162982225418
11.44,11.197357067465783
11.35,11.367944139242173
11.6,11.443882238864898
11.36,11.511432676017284
11.43,11.552107843756676
11.22,11.54055276364088
11.48,11.428696703910827
11.34,11.387881669402123
11.88,11.356106719374656
11.9,11.54725681245327
11.78,11.702928526699543
12.03,11.804478751122952
11.93,12.019294127821922
11.95,12.079647073149681
11.89,12.05546141564846
12.27,12.002018409967423
12.51,12.125815269351005
11.9,12.294862069189548
12.09,12.234251108765601
11.58,12.209042078256607
11.23,12.061921349167823
11.46,11.791720469295978
11.34,11.690483859181404
11.33,11.540286061167716
11.23,11.44642416536808
11.07,11.390720704197884
11.32,11.266776159405708
11.4,11.279107022285462
11.13,11.33371934890747
11.38,11.298888179659844
11.45,11.26789856851101
11.43,11.233460068702698
11.96,11.289691722393036
11.73,11.4983520925045
11.71,11.670310901105404
11.55,11.820655515789985
11.38,11.76338745802641
11.3,11.63475433588028
11.28,11.499362434446812
11.22,11.422438317537308
11.69,11.39412963092327
11.91,11.508917680382728
12.53,11.684208098053933
12.11,12.082068245112897
12.13,12.170520511269569
12.54,12.176328891515732
12.33,12.301564380526543
12.66,12.276556897163392
12.68,12.414967662096023
13.02,12.56159842312336
12.84,12.807227057218551
12.9,12.954717868566513
12.61,13.063419541716575
12.8,13.006934216618538
12.69,13.006221851706504
12.69,12.934173959493638
12.48,12.869308790564537
12.44,12.675992065668106
12.01,12.64117132127285
11.65,12.480461797118187
11.68,12.156454779207706
11.61,11.971255539357662
11.57,11.769577214121819
11.59,11.63613389134407
11.53,11.46363472789526
11.47,11.365930405259132
11.42,11.2818817704916
11.41,11.239125975966454
11.42,11.106627839803696
11.23,11.020556783676147
11.32,10.934445765614509
11.34,10.940987360477447
11.39,10.962505124509335
11.44,11.052642741799355
11.55,11.246778686344623
11.74,11.419672256708145
12.04,11.661158749461174
12.06,11.95612473487854
12.17,12.102485318481921
12.28,12.220078521966935
12.35,12.343503561615943
12.35,12.463776820898056
12.41,12.537871459126473
12.73,12.595981323719025
12.61,12.855221340060234
12.78,12.936695036292075
12.86,13.01491965353489
12.93,13.102655211091042
12.91,13.198122534155846
12.7,13.26110254228115
12.78,13.139498376846314
12.76,13.052760130167007
12.61,13.02738951444626
12.75,12.92660725414753
12.64,12.921406990289688
12.78,12.877361989021301
13.22,12.931010016798973
13.28,13.152185422182082
13.91,13.29487211406231
13.99,13.650561127066613
13.99,13.919343358278274
14.27,14.067864492535591
13.97,14.221307894587516
14.1,14.177970045804978
14.17,14.245530039072037
13.72,14.324056977033615
13.94,14.174967688322067
14.09,14.168681502342224
14.09,14.23205244243145
13.73,14.335562539100646
13.15,14.232625809311866
13.25,13.857616069912911
14.0,13.617519557476044
13.82,13.66734861433506
13.54,13.727187266945839
13.62,13.704110118746758
13.47,13.662718242406845
13.65,13.636748197674752
13.78,13.656260046362878
13.75,13.70971521437168
14.03,13.808810386061669
14.31,13.92242390215397
14.24,14.069351771473885
14.4,14.148474663496017
14.39,14.31269388794899
14.25,14.568111458420754
14.31,14.615384688973425
14.23,14.47587410211563
14.15,14.40032519698143
14.14,14.437156200408936
14.01,14.443711695075034
13.64,14.42939316034317
13.71,14.148717910051346
13.96,13.944675749540329
14.21,13.9815554022789
14.3,14.10073578953743
14.27,14.175657466053963
14.34,14.249837240576744
14.35,14.287470957636833
14.88,14.328826346993447
14.35,14.658321180939673
14.33,14.625430771708487
14.04,14.55432806611061
14.15,14.39407376050949
13.83,14.319405755400657
13.89,14.190106311440468
13.87,14.19128258228302
13.54,14.169833448529243
13.45,13.957606041431427
13.72,13.697153267264365
14.12,13.634986397624015
13.76,13.812493833899499
13.8,13.840408113598823
13.84,13.842974364757538
13.68,13.732773250341415
13.98,13.68758325278759
14.33,13.796234539151191
14.31,14.082368937134742
14.44,14.247218865156174
14.85,14.448720836639405
14.64,14.68582194149494
14.55,14.74421153962612
15.08,14.790923565626143
15.72,14.986057689785955
15.679999999999998,15.29485224187374
15.590000000000002,15.488890019059179
15.540000000000001,15.688202771544455
15.369999999999997,15.78200038075447
14.97,15.742891547083852
15.190000000000001,15.570919707417486
15.220000000000002,15.482887041568754
15.240000000000002,15.435391414165496
15.019999999999998,15.45850331187248
14.840000000000002,15.391749507188795
14.73,15.207389467954634
14.599999999999998,15.099577382206915
14.579999999999998,15.01581890583038
14.34,14.824498540163038
14.01,14.386270758509635
14.01,14.049885097146035
14.23,13.87917987704277
14.27,13.947761505842209
14.38,14.070969361066819
13.79,14.269802570343018
